主体,年代
Vase_with_landscape,late 17th–early 18th century
Vase_with_landscape_and_bird-and-flower_scenes,late 17th–early 18th century
Candlestick_from_a_Set_of_Five-Piece_Altar_Set_(Wugong),未知年代
Daoist_deity_Zhenwu,early 18th century
Vase,18th century
Box_base,未知年代
Box_base,未知年代
Covered_box,未知年代
Water_Buffalo,13th–11th century BCE
Vase_with_landscape_and_bird-and-flower_scenes,未知年代
Vase_with_landscape_and_poem_by_Zhu_Xi,dated 1639
Belt_Buckle_with_Dragon_and_Fantastic_Creature,1st century BCE–1st century CE
Vase,18th–19th century
Lozenge-Shaped_Tray,14th century
Rectangular_box_with_scene_of_a_visit,late 16th–early 17th century
Wine_pot_with_figures_in_a_landscape,18th century
Box_with_scene_of_bathing_children,14th century
Dish_with_Antiquities,mid-17th–early 18th century
Cup_with_Dragon-Shaped_Handles,18th–19th century
Tray_with_figures_in_a_landscape,14th century
Mount_Huang,2012
Snuff_Bottle_with_Two_Monkeys_and_Rock,late 18th–early 19th century
Dish_with_Carved_Decoration_of_Character_for_Longevity_(Shou),18th century
Twenty-one_Ancestors_with_Spirit_Tablet,未知年代
Scroll_Cover_for_Imperial_Calligraphy,未知年代
Bottle_and_stopper,未知年代
Mythical_realm,late 18th century
Table_Screen_with_Scene_of_Imperial_Traveling_Palace,未知年代
Rank_Badge_with_Qilin_(?),late 17th–early 18th century
Figure_of_a_Dog,未知年代
Scholar’s_rock_with_overhang_and_perforation,18th century
Landscape_After_Wen_Zhengming,dated 1640
Plate_with_fairies,未知年代
Plate,1700–1722
Scholar_Admiring_Autumn_Scenery,late 15th–early 16th century
Camel,ca. late 7th–first half of the 8th century
Sages_Admiring_Waterfall,未知年代
Misty_Landscape_with_Scholars_and_Attendants,未知年代
Fan,未知年代
Immortals'_Studio_by_Stream_and_Bamboo,18th century or later
Calligraphy:_Poem,未知年代
Camel_with_saddle_bags,late 6th–early 7th century
Sheep_and_herd_boy,14th century
Ox_and_Herdsman,late 13th century
Waves_in_the_moonlight,13th century
Camel_with_saddle_bags,late 6th–7th century
Misty_Landscape,15th–16th century
Head_of_a_Bodhisattva,6th–7th century
Quatrain_in_Five-syllable_Verse,未知年代
Landscape,dated 1648
Poem_on_Lanzhou,未知年代
Lamellar_Shoulder_Defenses,14th–16th century
Flying_Celestial_Figure,6th–7th century
Rank_Badge_with_Silver_Pheasant,未知年代
Carpet,18th–19th century
Woman's_Robe_with_Phoenixes_and_a_Tree,18th century
Rank_badge_with_crane,19th century
Woman's_Robe_of_State,18th century
Safe_Conduct_Pass_(Paiza)_with_Inscription_in_Phakpa_Script,late 13th century
Covered_bottle_with_cloud_scrolls,14th century
Emperor’s_twelve-symbol_festival_robe,未知年代
"Shoulao,_the_God_of_Longevity,_Holding_a_Peach",18th century
Festival_Robe,second half of the 18th century
Vase_with_Garden_Scene,late 17th–early 18th century
Woman's_Informal_Coat_with_Large_Rosettes,18th century
Brush_pot_with_poem,late 17th century
Theatrical_robe_for_a_female_Daoist_priest,18th century
Purse_with_boys_playing,10th–11th century
Fan_with_Dragon,probably 17th century
One_of_a_Pair_of_Cups_with_Mille-Fleurs_Design,未知年代
Hexagonal_vase_with_stylized_phoenix_handles,mid-18th century
Snuff_bottle_with_Mexican_eight_reales_coin,late 18th–early 19th century
Mythical_realm,late 18th century
One_of_a_Pair_of_Cups_with_Mille-Fleurs_Design,未知年代
Summer_Robe_for_Court_Lady,20th century
Textile_fragment_with_boys_in_floral_scrolls,11th–12th century
Woman’s_robe_decorated_with_cranes_amid_clouds,19th century
Pedestaled_dish_with_scalloped_rim,13th century
Box_with_pommel_scroll_design,16th century
Scholars_in_a_Cottage_after_a_Fall_of_Snow,未知年代
Bowl_with_dragon,dated 1589
Section_of_a_Clapper_(Paiban),early 15th century
Vase_with_landscape,未知年代
Implement_with_Curved_Blade,13th–11th century BCE
Plate_with_Camellia_and_Plum,未知年代
Cup_with_Floral_Scrolls,late 12th century
Stele_with_Pure_Land_Imagery,dated 758
Vase_decorated_with_blossoming_plum,未知年代
"Musical_Stone_with_Theme_of_the_""Hundred_Antiques""",未知年代
Village_and_Temples_in_Jiangnan,early 15th century
Covered_Wine_Cup_(Jiao),未知年代
Covered_Jar_(Hu),1st century BCE
Tomb_Panel_with_Relief_of_Figures_in_a_Pavilion,early 2nd century
Rectangular_cauldron_(fangding),early 10th century BCE
"Tiered_Box_with_Figural_Scenes,_Flowers,_and_Birds",first half of the 15th century
Seated_Buddha,6th–7th century
Spring_Festival_on_the_River,18th century?
Vessel_in_shape_of_a_crouching_tiger,3rd–5th century
Incense_Burner,17th–18th century
Bottle,6th–7th century
Rank_Badge_with_Stylized_Bear,18th century
Festival_Robe,18th century
Rank_Badge_with_Peacock,18th century
Textile_with_Coiled_Dragons,未知年代
Censer_with_figures_in_landscape,1707
Cup_with_Double_Fish,12th century
Beaker_of_archaistic_design,18th–19th century
"Puxian_(Samantabhadra,_Bodhisattva_of_Universal_Benevolence)",late 17th century
Panel_with_five_phoenixes_in_a_garden,18th century
Daoist_Robe,17th century
Brush_pot_with_decoration_of_landscape_and_poem_by_Du_Fu_(712–770),ca. 1670
Casting_Model_for_Belt_Plaque,2nd–1st century BCE
Wall_hanging_with_scene_from_an_opera,19th century
Brush_holder_with_tribute_scene,18th century
Buckle,ca. 5th–3rd century BCE
Buddha_Shakyamuni_with_disciples,early 18th century
Coat,19th century
Theatrical_robe_with_flowers_and_butterflies,18th century
Bolt,未知年代
Woman's_Informal_Summer_Robe,early 20th century
Jade_book,18th century
Panel_with_Four-Clawed_Dragon,17th century
Seal_casket_with_cover,18th–19th century
Box_with_Two_Trays_containing_Tools_and_Specimens,20th century
Textile_with_Floral_Pattern,late 13th–mid-14th century
Seal_with_two_dragons,18th century
Wine_Pouring_Vessel_(Gong),13th century BCE
Jar_(Guan),"Machang phase, ca. 2350–2050 BCE"
Rock_in_the_form_of_a_mountain_with_grottoes,14th–15th century
Armored_Cavalryman,18th–19th century
Armored_Cavalryman,18th–19th century
Bodhisattva,late 6th century
Portable_Shrine_with_Bodhisattva_Avalokiteshvara_(Guanyin),10th century
Scholar's_rock,late 19th century
Buddha_and_Attendants,dated 607
Rondel_with_a_Seated_Buddha,6th–7th century
Rank_Badge_with_Tiger,18th century
Snuff_bottle_with_Dongfang_Shuo_stealing_peaches_of_longevity,late 18th–early 19th century
Snuff_Bottle,未知年代
Seal,19th–20th century
Medallion,未知年代
Bowl,未知年代
Flowers_and_Butterflies,未知年代
Imperial_Court_Robe,未知年代
Medallion,未知年代
Rank_Badge_with_Silver_Pheasant,未知年代
Birthday_Square,18th century
Rank_Badge_with_Mythological_Beast,late 18th century
Textile_with_Dragon,未知年代
Snuff_Bottle_with_Dragons,未知年代
Cup_with_Dragon_and_Lotus,18th century
Rank_Badge_with_Crane,20th century
Jar,未知年代
The_Last_Three_Months_of_the_Year,未知年代
Snuff_Bottle,未知年代
Snuff_Bottle,19th century
Vertical_Peak,18th–19th century
Snuff_Bottle,19th century
Ink_Tablet_Decorated_with_Emblems_of_Investiture,dated 1576
Drip_tile_with_dragon,16th century
Rock_with_large_perforations,17th–18th century
Seal,18th century
Vase_with_archaistic_patterns,second half 18th century
Sword_pommel,2nd century BCE
Dish,ca. late 7th–first half of the 8th century
Hu_container_with_modern_painting_of_hunting_scene,1st–2nd century (painting: early 20th century)
Theatrical_robe_with_dragons,18th century
Theatrical_warrior’s_robe,19th century
Ceremonial_Robe,early 19th century
Imperial_Theatrical_Robe_for_Warrior,18th century
"Brush_pot_with_pine,_bamboo,_and_plum_tree",18th century
Water_coupe_in_the_form_of_pine_tree_trunk,17th century
Ink_palette_in_the_form_of_the_Stone_Drum,19th century
Double-Spouted_Ewer,mid-14th century
Water_Container_in_the_Shape_of_a_Lotus_Leaf_with_a_Crab,未知年代
Jue_stand,second half of the 16th century
Imperial_Theatrical_Coat_for_Warrior,18th century
Covered_jar_on_stand,未知年代
Bowl,first half of the 16th century
Deep_Bowl,未知年代
Box_and_cover_in_the_shape_of_a_lotus_pod_with_stems_tied_together_on_one_end,second half 18th century
Dish,未知年代
Covered_urn_(Koro)_from_a_scholar's_desk_set,second half 18th century
Libation_cup_in_form_of_a_pine_tree_stump,未知年代
Fragment,2nd quarter 17th century
Vase_in_the_shape_of_a_lotus_leaf_tied_together_at_the_top_with_a_ribbon,second half 18th century
Ornament_with_bird,未知年代
Rubbing,未知年代
Battle_of_the_Bridge_(Wu_Ban_Battles_the_Barbarians(?)),未知年代
Rank_Badge_with_Lion_of_India,未知年代
Emperor's_Twelve-Symbol_Robe,未知年代
View_of_a_Garden_Villa,18th century (?)
Imperial_Theatrical_Coat_for_Warrior,18th century
Imperial_Theatrical_Coat_for_Female_Warrior,18th century
Imperial_Theatrical_Skirt_for_Court_Lady,18th century
Imperial_Theatrical_Coat_for_Court_Dancer,18th century
Theatrical_jacket_with_dragons,18th century
Emperor's_Twelve-Symbol_Robe,未知年代
Prunus,dated 1532 or 1592
Theatrical_skirt_with_dragons,18th century
Two_Men_on_Horse_with_Dog_in_Lead,未知年代
Daoist_Priest's_Robe,18th century
Teapot,undated
"""All_Victorious""_Guanyin_Bodhisattva",1147-1172
2000.5.5,2000
A_Divine_Gift_of_One_Hundred_Honors,undated
A_Hermitage,18th century
A_Mandarin's_Autumn_Hat_(with_plumage),19th century
"A_Native_Detective,_Foochow",c. 1870
"A_Picture_of_Ancient_Trees,_Rock,_and_Bamboo",1623
A_Smile_in_the_Dream,1961
Album_of_Eight_Landscapes,1822
Album_of_Eight_Landscapes_1,1822
Album_of_Eight_Landscapes_2,1822
Album_of_Eight_Landscapes_3,1822
Album_of_Eight_Landscapes_4,1822
Album_of_Eight_Landscapes_5,1822
Album_of_Eight_Landscapes_6,1822
Album_of_Eight_Landscapes_7,1822
Album_of_Eight_Landscapes_8,1822
Album_of_Ten_Paintings,mid 18th century-late 18th century
Album_of_Ten_Paintings_1,mid 18th century-late 18th century
Album_of_Ten_Paintings_10,mid 18th century-late 18th century
Album_of_Ten_Paintings_2,mid 18th century-late 18th century
Album_of_Ten_Paintings_3,mid 18th century-late 18th century
Album_of_Ten_Paintings_4,mid 18th century-late 18th century
Album_of_Ten_Paintings_5,mid 18th century-late 18th century
Album_of_Ten_Paintings_6,mid 18th century-late 18th century
Album_of_Ten_Paintings_7,mid 18th century-late 18th century
Album_of_Ten_Paintings_8,mid 18th century-late 18th century
Album_of_Ten_Paintings_9,mid 18th century-late 18th century
Album_of_the_Jiangnan_Area,1755
Altar_Bowl,206 BCE-220
Altar_Frontal_(with_figures_and_birds),late 19th century-20th century
Ancestor_Portrait:_Man,undated
Ancestor_Portrait:_Ninth_Rank_Imperial_Official,19th century
Ancestor_Portrait:_Qing_Official_and_Wives,19th century
Ancestor_Portrait:_Woman,late 18th century-19th century
Ancestor_Portrait:_Woman,19th century-20th century
Animal_(head_with_hair),undated
Animal_(head_with_tongue),undated
Animal_(head),undated
Another_Battle_Series_No.1,2001
Another_Battle_Series_No.7,2001
Archaic_Model_of_a_Cicada,1050 BCE-771 BCE
Archer's_Ring,19th century
Archer's_Ring,19th century
Archer's_Ring,19th century
Archer's_Ring,19th century
Archer's_Ring,19th century
Archer's_Ring,late 19th century
Archer's_Ring,19th century
Archer's_Ring,19th century
Archer's_Ring,19th century
Arhart_or_Luohan,19th -20th century
Armed_Figure_Standing_Guard,ca. 1940
Armorial_Plate,late 18th century-early 19th century
Armorial_Plate,late 18th century-early 19th century
"Art_Class,_Chungking",1979
Autumn,1661
Autumn_Flowers,1688
Autumn_Landscape,late 17th century - early 18th century
Autumn_Landscape,late 19th century-early 20th century
Autumn_Mountains,18th century
Autumn_scene_with_flowers_and_Birds,1604
"Axe_(moon-shaped,_with_handle)",undated
Axe_(with_long_handle),undated
Azure-winged_Magpies,15th century
"Bag_(made_from_two_Insignias_of_Rank:_Silver_Pheasant,_Fifth_Rank)",18th century-19th century
"Bag_(with_floral_design,_hanging_cord_and_pull)",undated
Balimbing_Jarlet,2nd half 14th century
Baluster_Vase_(with_floral_design),1368-1644
Bamboo,1948
Bamboo_After_Rain,1966
Bamboo_and_plum_blossoms,1682
Bamboo_and_Plum_Blossoms,before 1877
Bamboo_and_Rock,1962
Bamboo_and_Sparrows,undated
Bamboo_Grove,1962
Bamboo_Grove,Summer 1980
"Bamboo,_Narcissus,_Chinese_Rose,_and_Lake_Tai_Rock",17th century
Banner_(two_dragons_competing_for_a_pearl),ca. 1900
Banner_(with_dragons_design),undated
Barricade_of_bamboo;_surrounding_my_thatched_hut,20th century
Bath_House,2000
"Battle_Scene_from_""The_Water_Margin""",ca. 1875-1890
Bedding_(with_cranes),19th century
"Bees,_Flowers_and_Rocks",17th century
"Beggars,_Foochow",c. 1870
Beijing,1965
Belt_Buckle,undated
Belthooks_(mounted_as_a_mirror),undated
Betal_Nut_Jar_(with_cover),18th century-19th century
Betelnut_Container_(with_geometric_design_and_cover),19th century
Betelnut_Grater_(with_animal-form_handle),19th century
Bi,3000 BCE
Bi,16th century BCE-1050 BCE
Bi_Disc_(with_three_arcs),16th century BCE-11th century BCE
Bi-Disc_(with_tiger-dragons_and_rush-mat_designs),206 BCE-220
Bird_and_Flower_Album,early 20th century
Bird_and_Sweet_Olive_Blossoms,1643
Bird_in_tree,1644-1912
Bird_on_branch,13th century
Bird_on_Branch,1643
Birds,late 19th - early 20th century
Bishamonten_(guardian_figure),19th century
Black_Dragon_Falls,10-Jul-80
Blank_Text_for_Ten_Bamboo_Studio_Prints,1643
Blank_Text_for_Ten_Bamboo_Studio_Prints,1643
Blank_Text_for_Ten_Bamboo_Studio_Prints,1643
Blank_Text_for_Ten_Bamboo_Studio_Prints,1643
Blank_Text_for_Ten_Bamboo_Studio_Prints,1643
Boat,undated
Boatman,undated
Bodhi_Dharma,undated
Bodhisattva,ca. 565
Bodhisattva,16th century
Bodhisattva_?_(with_stand),ca. 16th century
Bodhisattva_Guanyin,1368-1644
Bodhisattva_Guanyin_of_the_Southern_Seas,13th century
Bodhisattva_Head,ca. 565
Bodhisattva_Head,undated
Bodhisattva_Votive_Stele,504
"Bomb_Pin_and_Tag,_China",1944
"Bomber,_U.S._B-24_comes_in_for_landing,Kunming,_China",1944
Bone_Dish,late 19th century
Bone_Dish,late 19th century
Boned_Peony_and_Bud,Spring 1981
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",ca. 1860
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",ca. 1860
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",ca. 1860
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",ca. 1860
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",ca. 1860
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",ca. 1860
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",ca. 1860
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",ca. 1860
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",ca. 1860
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",ca. 1860
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",ca. 1860
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",ca. 1860
Bottle,618-906
Bottle,265-589
Bottle,undated
Bottle,20th century
Bottle_(with_crab_design_and_cap),19th century
Bottle_(with_crab_design_and_cap),19th century
Bottle_(with_floral_design),20th century
Bottle_(with_floral_design),20th century
Bottle_(with_floral_design),20th century
Bottle_(with_taoist_symbols),undated
"Bottler,_Beer_Factory,_Tsingtao",1979
Bowl,undated
Bowl,late 17th century
Bowl,1723-1735
Bowl,1723-1735
Bowl,11th century-12th century
Bowl,18th century
Bowl,18th century
Bowl,early 12th century
Bowl,1850-1880
Bowl,late 16th century
Bowl,13th century
Bowl,11th century-12th century
Bowl,1127-1279
Bowl,1573-1620
Bowl,1736-1796
Bowl,1736-1796
Bowl,1736-1796
Bowl,1662-1722
Bowl,1368-1644
Bowl,1368-1644
Bowl,960-1126
Bowl,960-1126
Bowl,1127-1279
Bowl,960-1279
Bowl,mid 12th century
Bowl,960-1279
Bowl,1862-1873
Bowl,1279-1368
Bowl,1723-1735
Bowl,1662-1722
Bowl,1736-1796
Bowl,1662-1722
Bowl,13th century
Bowl,1821-1850
Bowl,1821-1850
Bowl,960-1279
Bowl,18th - 19th century
Bowl,1662-1722
Bowl,18th century-19th century
Bowl,18th century
Bowl,undated
Bowl,1600-1644
Bowl,1662-1722
Bowl,1821-1850
Bowl,undated
Bowl_(Celadon_Basin),1368-1644
Bowl_(cherry_blossom_design),1368-1644
Bowl_(footed),960-1279
Bowl_(with_aquatic_design_and_metal_rim),1522-1566
Bowl_(with_cover),18th century
Bowl_(with_cover),late 18 century-early 19th century
Bowl_(with_cover),late 18th century-early 19th century
Bowl_(with_decorative_motif),16th century-17th century
Bowl_(with_figures),8th century
Bowl_(with_fish_and_flower_design),undated
Bowl_(with_floral_design),1662-1722
Bowl_(with_floral_design),1127-1279
Bowl_(with_floral_design),1279-1368
Bowl_(with_foot_and_insect_design),undated
Bowl_(with_garnets),1736-1796
Bowl_(with_impressed_floral_design),1279-1368
Bowl_(with_impressed_floral_design),late 11th century-12th century
Bowl_(with_incised_floral_design),15th century-16th century
Bowl_(with_leaf_design),1368-1644
Bowl_(with_lotus_design),960-1279
Bowl_(with_ribbed_design),1279-1368
Bowl_(with_river_scene),19th century
Bowl_(with_river_scene),19th century
Bowl_(with_scalloped_rim),1368-1644
Bowl_(with_two_handles_and_lotus_design),17th century
"Bowl_(with_wind,_flower,_snow,_and_moon_characters)",13th century
Box,undated
"Box_(in_five_sections,_ornamented_with_jades)",ca.1725
"Box_(in_form_of_goose,_with_wood_stand)",16th century-17th century
Box_(in_shape_of_melon_with_lid),960-1279
Box_(with_cover),19th century
Box_(with_cover),10th century
Box_(with_cover),19th century
Box_(with_cover),15th century
Box_(with_cover),1368-1644
Box_(with_cover),early 20th century
Box_(with_floral_design_and_cover),10th century
Box_(with_floral_design_and_hinged_lid),19th century
Box_(with_geometric_design_and_cover),19th century
"Box_(with_lid,_in_the_form_of_a_recumbent_bull)",1644-1911
Box_(with_lid),undated
Box_(with_lid),undated
Box_(with_lid),19th century
Box_(with_melon_design_and_lid),late 18th century
Box_(with_melon_design_and_lid),19th century
Box_(with_model_of_a_flower_boat),1894
"Boy_Soldier_and_Grandfather,_Chengtu,_China",1944
Boy_washing_an_Elephant,ca. 1900
"Boy_with_chicken,_Huhnjao,_China",1945
"Boy's_Boots_(with_floral_design,_a_pair)",19th century
Boy's_Hat_(with_floral_design),undated
Bracelet,1644-1911
Bracelet,19th century-20th century
Branch_of_the_Old_Pine,1962
Bridge,undated
Bringing_Food_to_Soldiers,ca. 1940
Brush_holder,1723-1735
Brush_Holder_(in_shape_of_vase),1662-1722
Brush_Rest_(in_the_form_of_a_coiled_dragon),early 1960s
Brush_Washer,1736-1796
Brush_Washer,1644-1911
Brush_Washer,1662-1722
Brush_Washer,1662-1722
Brush_Washer,1662-1722
Brush_Washer,1662-1722
Brush_Washer,17th century
Brush_Washer_(with_catfish_motif),early 18th century
Brush_Washer_(with_Mandarin_scenes_on_openwork_stand),late 19th century
Brush_Washer_(with_relief_of_pilgrim_and_vision_of_enlightenment),late 19th century
Bucket_Vase,1368-1644
Buddha,500-525
Buddha's_Hand_(with_stand),1736-1796
Buddhist_Figure,undated
"Buddhist_Monks_Studying_Sutras,_Cold_Mountain_Monastery,_Soochow",1979
"Burial_of_famine_victim,_Hengyang,_China",1946
Butterfly_and_Flowers,after 1701
Cabinet,19th century
Cabinet,20th century
Cabinet,20th century
Calligrapher's_Case_(with_floral_design_and_interior_compartment),undated
Calligraphic_Critique,1773
Calligraphy_Birthday_Scroll,1959
Calligraphy_Birthday_Scroll,1959
Camel,8th century
Camel,8th century
Canna_Blossom,1962
Card_Box_(with_floral_design_and_cord),undated
Card_Case,undated
Card_Case,19th century
Card_Case_(with_floral_design_and_hanging_cord),undated
Card_Case_(with_game_piece_design),undated
Card_Case_(with_hanging_cord_and_tassels),undated
"Case_(with_lotus,_clouds_and_rat_design)",undated
Cat,1962
Censer,18th-19th century
Censer,ca. 1600
Censer,17th century
Censer_(with_base),1426-1435
Censer_(with_cover),19th century
Censer_(with_cover),ca. 1800
Censer_(with_cover),18th century-19th century
Censer_(with_handles_in_the_form_of_coiling_dragons),17th century-18th century
Censer_(with_horizontal_fluted_design),1127-1279
Censer_(with_incised_cloud-grid_pattern),1368-1644
Censer_(with_raised_floral_design_and_tripod_legs),late 17th century-early 18th century
Censer_(with_stylized_fish_handles),1127-1279
Censer_(with_three_legs),1368-1644
Ceremonial_Animal,386-557
Ceremonial_Ax_Blade,475 BCE-221 BCE
Ceremonial_Axe,14th century BCE -11th century BCE
Ceremonial_Hatchet,14th century BCE-11th century BCE
Ceremonial_Knife_(with_imbedded_design_and_silver_hlit_and_dragon),mid 19th century
Ceremonial_Ring,undated
Chair,18th century
Chair,18th century
Chair,17th century
Chair,17th century
Chair,undated
Chair,undated
Chair_(folding),1600-1650
Chair_Cover,1644
Chair_Cover_(with_floral_design),1368-1644
Chair_Cover_(with_floral_design),1368-1644
Chair_Panel,1736-1795
Chang_Kuo-lao_(with_musical_instrument),ca. 1900
Chang-fee_(Three_Kingdoms),undated
Charger,mid 19th century
Charger,mid 19th century
Chicks_Playing_Mantius_under_the_Palm_Tree,19th century - 20th century
Child's_Costume_Headband_(with_floral_design),1920's-1930's
Child's_Costume_Pants_(with_floral_design),1920's-1930's
Child's_Costume_Top_(with_floral_design),1920's-1930's
Chimaera_(on_square_base),386-556
Chimera,581-618
Chimera,581-618
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Calligraphy,1961
Chinese_Fisherman_(with_a_fish_on_the_line),1st half 20th century
Chinese_Scroll_Painting,n.d.
"Chinese_Soldiers_Wait_for_Air_Transport,Kunming,_China",1944
Chinese_sword_exercises_at_the_gate_of_the_Imperial_Palace,1948
"Chrysanthemums,_Begonias_and_Butterflies",1929
Chung-li_Ch'uan_(with_fan_and_peach_of_immortality),ca. 1900
Cinnabar_Lacquer_Box_(with_the_cover),1644-1911
Cinnabar_Lacquer_box_(with_the_lid),19th century
Coat,1874-1908
Cock_and_Hen,undated
Coin_(with_Chinese_characters),undated
Collar_for_First_Rank_Official_(with_crane_motif),ca. 1875-1900
Colored_Landscape,1962
Comb,475 BCE-221 BCE
Comb_(with_faces_design),19th century
Comb_(with_floral_design),19th century
Comb_(with_snake_design),19th century
Commemorative_Wall_Hanging_(with_characters_and_Taoist_immortals),ca. 1930
Compass_and_Sextant,undated
Composition_with_Figures,1368-1644
Composition_with_Fungus_and_Pine_Branch,1637
Composition_with_Seed_Pod,1637
Condiment_Service,19th century
Cong,18th or 19th century
Cong,14th century BCE-11th century BCE
Consomme_Cup_(with_two_handles),after 1891
Copper_Hammer,undated
Cosmetic_Box_(with_floral_design_and_lid),1368-1644
Cosmetic_Box_(with_lid_and_peony_design),960-1279
"Cotton_Mill_Nursery,_Peking",1979
"County_Market_at_Cheng-Kiang,_Yunnan,_China",1944
Court_Attendant,581-618
Court_Attendant,520-540
Court_lady,618-906
Court_Necklace,1875-1920
Court_Necklace,1800-1850
Cover_(with_floral_design),ca. 1900
Cover_(with_peony_design),late 18th century-early 19th century
Covered_Box_for_Chip_Incense_(in_the_form_of_a_dove),early 20th century
Covered_Box_for_Chip_Incense_(in_the_form_of_a_quail)_(Coturnix_Vulgaris),early 20th century
Covered_Tureen,ca. 1790-1820
Covered_Vegetable_Dish,1750
Crabs_in_a_pond,15th century - 17th century
Crane_Straddling_Cloud-Fungus_(Grus_Montignesia)_(with_stand),early 20th century
Crane_Straddling_Cloud-Fungus_(Grus_Montignesia)_(with_stand),early 20th century
Crayfish,1947
Cream_Pitcher_(with_armorial_design),ca. 1730-1740
Cribbage_Board_(with_game_pegs),late 19th century-early 20th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Cricket_House_(with_lid),19th century
Crickets_(a_pair),19th century
Crow,undated
Cup,undated
Cup,undated
Cup,16th century-17th century
Cup,13th century
Cup,13th century
Cup,960-1126
Cup,18th century
Cup,18th century
Cup,1736-1796
Cup,1736-1796
Cup,1736-1796
Cup,18th century
Cup,1736-1796
Cup,1736-1796
Cup,1736-1796
Cup_(with_cover),undated
Cup_(with_floral_design),1621-1644
Cup_(with_floral_design),1621-1644
Cup_(with_handle_and_urn_design),ca. 1790-1800
Cup_(with_ivory_stand),1736-1796
Cup_(with_ivory_stand),1736-1796
Cup_(with_two_handles_and_urn_design),ca. 1790-1810
Cup_(with_wood_stand),16th century-17th century
cup_and_saucer_(with_floral_design),18th century
Cup_on_base,17th century
Curio_Shelf_(seven-tiered),19th century
Curtain_(left_section),undated
Curtain_(right_section),undated
Curtain_(with_masks_design),undated
Dancing_Girl,618-906
Dancing_Girl,618-906
Dancing_Girl,618-906
Daoist_Ceremonial_Robe_(with_floral_design),late 19th century
Daoist_Priest's_Robe,19th century
Daoist_Scepter,960-1279
"Decorative_""Planter""_with_Artificial_Tree",18th century-19th century
Decorative_Censer,19th century
Decorative_Elements_(a_pair),undated
Decorative_Pendant_(with_stand),1736-1795
Dice_Box_(with_dice_and_floral_design),undated
Dipper_Mother_(Goddess_with_Ten_Arms),17th century
Dish,late 16th century-early 17th century
Dish,late 16th century-early 17th century
Dish,late 16th century-early 17th century
Dish,ca. 1785-1820
Dish,1127-1279
Dish,19th century
Dish,19th century
Dish,19th century
Dish,19th century
Dish,19th century
Dish,960-1279
Dish,1368-1644
Dish,late 16th century-early 17th century
Dish,1736-1796
Dish_(with_aqautic_design),late 16th century-early 17th century
Dish_(with_aquatic_design),late 16th century-early 17th century
Dish_(with_aquatic_design),1573-1620
Dish_(with_bird_design),1573-1620
Dish_(with_birds_design),late 16th century-early 17th century
Dish_(with_delicate_blue_design_on_light_background),19th century
Dish_(with_floral_design),late 16th century-early 17th century
Dish_(with_floral_design),late 16th century-early 17th century
Dish_(with_floral_design),late 16th century-early 17th century
Dish_(with_floral_design),1573-1620
Dish_(with_flower_design),late 16th century-early 17th century
Dish_(with_foliated_design),1279-1368
Dish_(with_goldfish_design),late 16th century-early 17th century
Dish_(with_impressed_design),14th century
Dish_(with_impressed_motif),14th century
Dish_(with_plant_design),late 16th century-early 17th century
Dish_(with_scalloped_edge),late 16th century-early 17th century
Dish_(with_scalloped_edge),1573-1620
Dish_(with_scalloped_rim),1573-1620
Dish_(with_twin-fish_design),1127-1279
Dish_(with_twin-fish_design),1127-1279
Dish_(with_twin-fish_design),960-1279
Dish_Cover,late 19th century-early 20th century
Display_Case,undated
